#,Al2O3_mol,B2O3_mol,CaO_mol,Na2O_mol,SiO2_mol,ZrO2_mol,V2O5_mol,Li2O_mol,SUM,pH (90 °C),Measurement,r0,ln r0,Al-Al,Al-B,Al-Si,Al-Zr,B-B,B-Si,B-Zr,Si-Si,Si-Zr,Zr-Zr,Al-V4,Al-V5,B3-V4,B3-V5,Si-V4,Si-V5,Zr-V4,Zr-V5,V4-V4,V4-V5,V5-V5,sum_poly,Al-V,B-V,Si-V,Zr-V,V-V,Former-V,Former-Zr,B-B + B-Si,"NBO, %",System Size (# atoms),a (Å),Vol (A3),sum_poly
49,0.0366,0.152,0.0546,0.1204,0.5734,0.0154,0.0476,,1,10,ICP Si,70.5,4.25561271,0.004466391,0.035425972,0.084778206,0.00302383,0.069964213,0.296806946,0.011762421,0.278830416,0.024995145,0.000416123,0.003883818,0.013454656,0.014397869,0.040308486,0.027158987,0.075984132,0.001581269,0.004105751,0.000471607,0.003495437,0.004688324,1,0.017338475,0.054706356,0.103143119,0.00568702,0.008655367,0.189530335,0.04588454,0.36677116,4.888,19998,63.900999,260929.3566,#REF!
50,0.0356,0.1478,0.053,0.1171,0.5574,0.015,0.074,,0.9999,10,ICP Si,68.475,4.226468715,0.003080575,0.030523133,0.079727553,0.002232711,0.061865868,0.263827262,0.010456999,0.267529605,0.023485855,0.000423932,0.004493683,0.018766074,0.017042082,0.05522426,0.034225476,0.101461154,0.001526157,0.005256762,0.001300059,0.007800356,0.009750445,1,0.023259758,0.072266343,0.135686629,0.006782918,0.018850861,0.256846508,0.043382415,0.325693129,5.836,19995,64.043076,262673.6742,#REF!
51,0.0384,0.1596,0.0573,0.1265,0.602,0.0162,0,,1,2,ICP Si,0.86184,-0.14868564,0.006143306,0.046258812,0.104209722,0.003595391,0.081476658,0.366701583,0.014381564,0.343600487,0.033236135,0.000396342,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.051609433,0.448178241,5.280666667,19999,63.116375,251435.2384,#REF!
52,0.0366,0.152,0.0546,0.1204,0.5734,0.0154,0.0476,,1,2,ICP Si,6.425,1.860196631,0.004466391,0.035425972,0.084778206,0.00302383,0.069964213,0.296806946,0.011762421,0.278830416,0.024995145,0.000416123,0.003883818,0.013454656,0.014397869,0.040308486,0.027158987,0.075984132,0.001581269,0.004105751,0.000471607,0.003495437,0.004688324,1,0.017338475,0.054706356,0.103143119,0.00568702,0.008655367,0.189530335,0.04588454,0.36677116,4.888,19998,63.900999,260929.3566,#REF!
53,,0.17,0.04,0.18,0.61,0,,,1,6.9,,37,3.610917913,0,0,0,0,0.109697851,0.481414183,0.002751532,0.397622261,0.008462257,5.19157E-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.011265704,0.591112034,10.04,12004,52.86090088,147707.8854,#REF!
54,,0.17,0.04,0.18,0.6,0.01,,,1,6.9,,15,2.708050201,0,0,0,0,0.112482783,0.4712544,0.013620364,0.371320716,0.03081161,0.000510126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.044942101,0.583737183,9.17,12004,52.73442459,146650.1916,#REF!
55,,0.18,0.04,0.18,0.59,0.02,,,1.01,6.9,,5.1,1.62924054,0,0,0,0,0.116577056,0.453796292,0.02929501,0.341892367,0.0574343,0.001004975,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.087734285,0.570373348,8.2,12006,52.71591187,146495.7986,#REF!
56,,0.18,0.04,0.18,0.57,0.04,,,1.01,6.9,,1.3,0.262364264,0,0,0,0,0.112838935,0.422420156,0.05024359,0.313567246,0.095861424,0.005068648,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.151173663,0.535259092,7.43,12006,52.79950333,147193.7981,#REF!
57,,0.17,0.04,0.18,0.55,0.06,,,1,6.9,,0.19,-1.660731207,0,0,0,0,0.111267196,0.394787832,0.070964929,0.281486146,0.132241814,0.009252083,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.212458826,0.506055028,7.21,12004,52.82020187,147366.9754,#REF!
58,,0.18,0.04,0.19,0.51,0.08,,,1,6.9,,0.091,-2.396895772,0,0,0,0,0.11544563,0.386645515,0.088332853,0.245529276,0.151067205,0.012979521,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.252379579,0.502091145,6.73,12006,52.87601089,147834.5863,#REF!
60,,,0.1,0.15,0.74,0.01,,,1,,CD,0.69,-0.371063681,0,0,0,0,0,0,0,0.955522239,0.044277861,0.0001999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.044477761,0,,,,0,#REF!
61,,,0.1,0.15,0.72,0.03,,,1,,CD,0.292,-1.231001477,0,0,0,0,0,0,0,0.866156788,0.132836872,0.00100634,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.133843212,0,,,,0,#REF!
62,,,0.1,0.15,0.7,0.05,,,1,,CD,0.225,-1.491654877,0,0,0,0,0,0,0,0.7868,0.2087,0.0045,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2132,0,,,,0,#REF!
63,,,0.1,0.15,0.68,0.07,,,1,,CD,0.167,-1.789761467,0,0,0,0,0,0,0,0.7323,0.2573,0.0104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2677,0,,,,0,#REF!
64,0,0.18,0,0.142,0.677,0,0,0,0.999,9,,14,2.63905733,0,0,0,0,0.100291168,0.47474234,0,0.424966493,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.575033507,2.6,12000,53.15321732,150171.8985,#REF!
65,0.041,0.173,0,0.136,0.649,0,0,0,0.999,9,,2.6,0.955511445,0.006270154,0.048459334,0.110220351,0,0.090066284,0.380687925,0,0.364295951,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.47075421,1.8,11999,53.59650421,153960.5282,#REF!
